SkillSpector Linear Data.

Create Date 2/15/2019
Time 18:16:35

Joelho - X pos	Joelho - Y pos	Quadril - X pos	Quadril - Y pos	C7 - X pos	C7 - Y pos	Barra - X pos	Barra - Y pos	
-1.855	16.048	32.570	22.450	77.982	41.997	12.616	-16.327	
-1.856	16.048	32.555	22.501	77.903	42.156	12.631	-16.319	
-1.856	16.048	32.540	22.551	77.824	42.316	12.646	-16.312	
-1.857	16.048	32.527	22.598	77.745	42.478	12.658	-16.305	
-1.858	16.048	32.514	22.644	77.665	42.642	12.670	-16.300	
-1.859	16.048	32.503	22.689	77.586	42.806	12.680	-16.297	
-1.860	16.048	32.493	22.733	77.506	42.973	12.688	-16.297	
-1.861	16.048	32.484	22.777	77.427	43.139	12.695	-16.298	
-1.863	16.048	32.476	22.820	77.348	43.307	12.701	-16.302	
-1.865	16.048	32.469	22.863	77.270	43.474	12.707	-16.308	
-1.867	16.048	32.463	22.906	77.192	43.641	12.711	-16.316	
-1.869	16.048	32.457	22.949	77.115	43.807	12.716	-16.324	
-1.872	16.048	32.451	22.993	77.039	43.972	12.720	-16.333	
-1.875	16.048	32.446	23.038	76.963	44.135	12.724	-16.341	
-1.878	16.048	32.440	23.083	76.887	44.296	12.730	-16.349	
-1.881	16.048	32.434	23.129	76.812	44.455	12.735	-16.355	
-1.885	16.049	32.428	23.176	76.736	44.612	12.742	-16.359	
-1.889	16.049	32.420	23.225	76.661	44.767	12.751	-16.360	
-1.893	16.049	32.412	23.274	76.585	44.920	12.760	-16.360	
-1.898	16.049	32.402	23.323	76.510	45.072	12.772	-16.356	
-1.902	16.049	32.392	23.373	76.433	45.223	12.784	-16.351	
-1.907	16.049	32.380	23.424	76.357	45.373	12.799	-16.342	
-1.913	16.049	32.367	23.474	76.280	45.523	12.815	-16.331	
-1.918	16.049	32.353	23.524	76.202	45.674	12.832	-16.319	
-1.924	16.049	32.337	23.574	76.124	45.825	12.851	-16.305	
-1.930	16.049	32.321	23.623	76.046	45.976	12.870	-16.290	
-1.936	16.049	32.303	23.671	75.967	46.128	12.890	-16.274	
-1.943	16.049	32.285	23.719	75.888	46.279	12.910	-16.259	
-1.950	16.049	32.266	23.765	75.809	46.431	12.930	-16.245	
-1.956	16.049	32.247	23.811	75.730	46.582	12.949	-16.231	
-1.963	16.048	32.228	23.857	75.651	46.733	12.968	-16.219	
-1.971	16.048	32.208	23.903	75.572	46.883	12.985	-16.209	
-1.978	16.048	32.189	23.949	75.494	47.032	13.001	-16.200	
-1.985	16.047	32.170	23.996	75.417	47.180	13.016	-16.193	
-1.993	16.047	32.152	24.044	75.340	47.328	13.029	-16.187	
-2.000	16.046	32.133	24.095	75.264	47.475	13.040	-16.184	
-2.008	16.046	32.115	24.148	75.188	47.623	13.049	-16.181	
